@relation autos-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute normalized-losses numeric
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute engine-size numeric
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute symboling {-3,-2,-1,0,1,2,3}

@data
?,alfa-romero,gas,std,two,convertible,rwd,front,0.058309,0.413433,0.316667,0.083333,0.411171,dohc,four,0.260377,mpfi,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,0.207959,3
?,alfa-romero,gas,std,two,convertible,rwd,front,0.058309,0.413433,0.316667,0.083333,0.411171,dohc,four,0.260377,mpfi,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,0.282558,3
?,alfa-romero,gas,std,two,hatchback,rwd,front,0.230321,0.449254,0.433333,0.383333,0.517843,ohcv,six,0.343396,mpfi,0.1,0.666667,0.125,0.441667,0.346939,0.166667,0.263158,0.282558,1
0.518325,audi,gas,std,four,sedan,fwd,front,0.38484,0.529851,0.491667,0.541667,0.329325,ohc,four,0.181132,mpfi,0.464286,0.633333,0.1875,0.225,0.55102,0.305556,0.368421,0.219254,2
0.518325,audi,gas,std,four,sedan,4wd,front,0.373178,0.529851,0.508333,0.541667,0.518231,ohc,five,0.283019,mpfi,0.464286,0.633333,0.0625,0.279167,0.55102,0.138889,0.157895,0.306142,2
?,audi,gas,std,two,sedan,fwd,front,0.38484,0.540299,0.5,0.441667,0.395268,ohc,five,0.283019,mpfi,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,0.251527,2
0.486911,audi,gas,std,four,sedan,fwd,front,0.559767,0.770149,0.925,0.658333,0.525989,ohc,five,0.283019,mpfi,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,0.312596,1
?,audi,gas,std,four,wagon,fwd,front,0.559767,0.770149,0.925,0.658333,0.568658,ohc,five,0.283019,mpfi,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,0.342634,1
0.486911,audi,gas,turbo,four,sedan,fwd,front,0.559767,0.770149,0.925,0.675,0.61986,ohc,five,0.264151,mpfi,0.421429,0.633333,0.08125,0.383333,0.55102,0.111111,0.105263,0.465642,1
?,audi,gas,turbo,two,hatchback,4wd,front,0.376093,0.553731,0.633333,0.35,0.60706,ohc,five,0.264151,mpfi,0.421429,0.633333,0,0.466667,0.55102,0.083333,0.157895,?,0
0.664921,bmw,gas,std,two,sedan,rwd,front,0.425656,0.532836,0.375,0.541667,0.351823,ohc,four,0.177358,mpfi,0.685714,0.347619,0.1125,0.220833,0.673469,0.277778,0.342105,0.28082,2
0.664921,bmw,gas,std,four,sedan,rwd,front,0.425656,0.532836,0.375,0.541667,0.351823,ohc,four,0.177358,mpfi,0.685714,0.347619,0.1125,0.220833,0.673469,0.277778,0.342105,0.293109,0
0.643979,bmw,gas,std,two,sedan,rwd,front,0.425656,0.532836,0.375,0.541667,0.474011,ohc,six,0.388679,mpfi,0.55,0.533333,0.125,0.304167,0.040816,0.222222,0.315789,0.393526,0
0.643979,bmw,gas,std,four,sedan,rwd,front,0.425656,0.532836,0.375,0.541667,0.495345,ohc,six,0.388679,mpfi,0.55,0.533333,0.125,0.304167,0.040816,0.222222,0.315789,0.396877,0
?,bmw,gas,std,four,sedan,rwd,front,0.492711,0.714925,0.55,0.658333,0.607836,ohc,six,0.388679,mpfi,0.55,0.533333,0.125,0.304167,0.040816,0.194444,0.236842,0.482771,1
?,bmw,gas,std,four,sedan,rwd,front,0.492711,0.714925,0.55,0.658333,0.675718,ohc,six,0.558491,mpfi,0.771429,0.628571,0.0625,0.558333,0.510204,0.083333,0.157895,0.636562,0
?,bmw,gas,std,two,sedan,rwd,front,0.492711,0.786567,0.633333,0.491667,0.733902,ohc,six,0.558491,mpfi,0.771429,0.628571,0.0625,0.558333,0.510204,0.083333,0.157895,0.89859,0
?,bmw,gas,std,four,sedan,rwd,front,0.682216,0.834328,0.883333,0.708333,0.782389,ohc,six,0.558491,mpfi,0.771429,0.628571,0.0625,0.558333,0.510204,0.055556,0.105263,0.788491,0
0.293194,chevrolet,gas,std,two,hatchback,fwd,front,0.052478,0,0,0.45,0,l,three,0,2bbl,0.264286,0.457143,0.15625,0,0.387755,0.944444,0.973684,0.000819,2
0.172775,chevrolet,gas,std,two,hatchback,fwd,front,0.230321,0.220896,0.275,0.35,0.149728,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.029219,1
0.08377,chevrolet,gas,std,four,sedan,fwd,front,0.230321,0.264179,0.275,0.35,0.163305,ohc,four,0.109434,2bbl,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,0.03617,0
0.277487,dodge,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.291667,0.25,0.150504,ohc,four,0.109434,2bbl,0.307143,0.552381,0.150625,0.083333,0.55102,0.666667,0.657895,0.011271,1
0.277487,dodge,gas,std,two,hatchback,fwd,front,0.206997,0.241791,0.291667,0.25,0.150504,ohc,four,0.109434,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.031255,1
0.277487,dodge,gas,turbo,two,hatchback,fwd,front,0.206997,0.241791,0.291667,0.25,0.248254,ohc,four,0.139623,mpfi,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,0.070478,1
0.434555,dodge,gas,std,four,hatchback,fwd,front,0.206997,0.241791,0.291667,0.233333,0.185803,ohc,four,0.109434,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.027581,1
0.434555,dodge,gas,std,four,sedan,fwd,front,0.206997,0.241791,0.291667,0.233333,0.194337,ohc,four,0.109434,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.039075,1
0.434555,dodge,gas,std,four,sedan,fwd,front,0.206997,0.241791,0.291667,0.233333,0.194337,ohc,four,0.109434,2bbl,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,0.061839,1
